Station,Date/Time  ,DATE,TIME,Temp ,SpCond ,DO Conc ,pH
G379,7/13/2012 10:16,7/13/2012,10:16,28.89,0.856,6.84,7.91
G379,7/13/2012 10:31,7/13/2012,10:31,29.12,0.862,7.4,7.97
G379,7/13/2012 10:46,7/13/2012,10:46,29.5,0.862,8.3,8.03
G379,7/13/2012 11:01,7/13/2012,11:01,29.96,0.866,9.46,8.1
G379,7/13/2012 11:16,7/13/2012,11:16,30.22,0.866,10.22,8.15
G379,7/13/2012 11:31,7/13/2012,11:31,30.6,0.858,11.56,8.19
G379,7/13/2012 11:46,7/13/2012,11:46,31.03,0.854,12.15,8.23
G379,7/13/2012 12:01,7/13/2012,12:01,31.22,0.867,12.51,8.26
G379,7/13/2012 12:16,7/13/2012,12:16,31.48,0.858,12.46,8.27
G379,7/13/2012 12:31,7/13/2012,12:31,31.95,0.855,13.23,8.33
G379,7/13/2012 12:46,7/13/2012,12:46,32.47,0.849,14.12,8.37
G379,7/13/2012 13:01,7/13/2012,1:01,32.74,0.85,14.23,8.39
G379,7/13/2012 13:16,7/13/2012,1:16,33.09,0.848,14.72,8.43
G379,7/13/2012 13:31,7/13/2012,1:31,33.36,0.846,15.36,8.46
G379,7/13/2012 13:46,7/13/2012,1:46,33.37,0.844,15.8,8.48
G379,7/13/2012 14:01,7/13/2012,2:01,33.57,0.841,16.1,8.5
G379,7/13/2012 14:16,7/13/2012,2:16,33.78,0.84,16.29,8.52
G379,7/13/2012 14:31,7/13/2012,2:31,33.97,0.839,16.37,8.54
G379,7/13/2012 14:46,7/13/2012,2:46,34.09,0.839,16.02,8.55
G379,7/13/2012 15:01,7/13/2012,3:01,34.24,0.837,15.99,8.56
G379,7/13/2012 15:16,7/13/2012,3:16,34.42,0.833,16.74,8.59
G379,7/13/2012 15:31,7/13/2012,3:31,34.4,0.83,16.52,8.59
G379,7/13/2012 15:46,7/13/2012,3:46,34.52,0.829,16.43,8.6
G379,7/13/2012 16:01,7/13/2012,4:01,34.56,0.826,16.37,8.61
G379,7/13/2012 16:16,7/13/2012,4:16,34.62,0.824,16.3,8.62
G379,7/13/2012 16:31,7/13/2012,4:31,34.62,0.823,16.19,8.62
G379,7/13/2012 16:46,7/13/2012,4:46,34.56,0.818,15.91,8.63
G379,7/13/2012 17:01,7/13/2012,5:01,34.54,0.819,15.71,8.64
G379,7/13/2012 17:16,7/13/2012,5:16,34.17,0.822,15.28,8.63
G379,7/13/2012 17:31,7/13/2012,5:31,34.01,0.821,15.16,8.63
G379,7/13/2012 17:46,7/13/2012,5:46,33.86,0.817,15.18,8.63
G379,7/13/2012 18:01,7/13/2012,6:01,33.74,0.816,14.99,8.63
G379,7/13/2012 18:16,7/13/2012,6:16,33.61,0.814,15.01,8.62
G379,7/13/2012 18:31,7/13/2012,6:31,33.36,0.811,14.96,8.62
G379,7/13/2012 18:46,7/13/2012,6:46,33.16,0.814,14.91,8.63
G379,7/13/2012 19:01,7/13/2012,7:01,32.85,0.812,14.88,8.62
G379,7/13/2012 19:16,7/13/2012,7:16,32.62,0.81,14.67,8.61
G379,7/13/2012 19:31,7/13/2012,7:31,32.31,0.81,14.55,8.6
G379,7/13/2012 19:46,7/13/2012,7:46,32.04,0.807,14.38,8.59
G379,7/13/2012 20:01,7/13/2012,8:01,31.75,0.806,14.22,8.57
G379,7/13/2012 20:16,7/13/2012,8:16,31.48,0.807,13.94,8.54
G379,7/13/2012 20:31,7/13/2012,8:31,31.2,0.81,13.59,8.51
G379,7/13/2012 20:46,7/13/2012,8:46,30.92,0.811,13.32,8.48
G379,7/13/2012 21:01,7/13/2012,9:01,30.83,0.808,13.12,8.46
G379,7/13/2012 21:16,7/13/2012,9:16,30.64,0.805,12.87,8.45
G379,7/13/2012 21:31,7/13/2012,9:31,30.5,0.806,12.69,8.42
G379,7/13/2012 21:46,7/13/2012,9:46,30.24,0.808,12.51,8.38
G379,7/13/2012 22:01,7/13/2012,10:01,30.13,0.809,12.38,8.35
G379,7/13/2012 22:16,7/13/2012,10:16,29.97,0.808,12.22,8.33
G379,7/13/2012 22:31,7/13/2012,10:31,29.83,0.808,12.01,8.3
G379,7/13/2012 22:46,7/13/2012,10:46,29.73,0.808,11.77,8.28
G379,7/13/2012 23:01,7/13/2012,11:01,29.56,0.808,11.56,8.26
G379,7/13/2012 23:16,7/13/2012,11:16,29.46,0.809,11.25,8.22
G379,7/13/2012 23:31,7/13/2012,11:31,29.38,0.808,11.09,8.19
G379,7/13/2012 23:46,7/13/2012,11:46,29.28,0.811,10.87,8.13
G379,7/14/2012 0:01,7/14/2012,12:01,29.19,0.811,10.66,8.11
G379,7/14/2012 0:16,7/14/2012,12:16,29.1,0.813,10.41,8.08
G379,7/14/2012 0:31,7/14/2012,12:31,28.99,0.814,10.11,8.05
G379,7/14/2012 0:46,7/14/2012,12:46,28.85,0.816,9.69,8.01
G379,7/14/2012 1:01,7/14/2012,1:01,28.75,0.818,9.48,7.97
G379,7/14/2012 1:16,7/14/2012,1:16,28.66,0.819,9.3,7.94
G379,7/14/2012 1:31,7/14/2012,1:31,28.59,0.827,8.71,7.85
G379,7/14/2012 1:46,7/14/2012,1:46,28.42,0.824,8.4,7.85
G379,7/14/2012 2:01,7/14/2012,2:01,28.32,0.823,7.86,7.84
G379,7/14/2012 2:16,7/14/2012,2:16,28.24,0.824,7.24,7.81
G379,7/14/2012 2:31,7/14/2012,2:31,28.17,0.826,7.16,7.78
G379,7/14/2012 2:46,7/14/2012,2:46,28.06,0.828,6.54,7.74
G379,7/14/2012 3:01,7/14/2012,3:01,28,0.83,6.32,7.72
G379,7/14/2012 3:16,7/14/2012,3:16,27.94,0.832,5.7,7.7
G379,7/14/2012 3:31,7/14/2012,3:31,27.86,0.836,5.47,7.68
G379,7/14/2012 3:46,7/14/2012,3:46,27.79,0.838,5.22,7.66
G379,7/14/2012 4:01,7/14/2012,4:01,27.72,0.84,4.78,7.64
G379,7/14/2012 4:16,7/14/2012,4:16,27.63,0.841,4.41,7.63
G379,7/14/2012 4:31,7/14/2012,4:31,27.57,0.843,3.86,7.61
G379,7/14/2012 4:46,7/14/2012,4:46,27.48,0.844,3.61,7.6
G379,7/14/2012 5:01,7/14/2012,5:01,27.41,0.845,3.24,7.58
G379,7/14/2012 5:16,7/14/2012,5:16,27.34,0.847,2.96,7.57
G379,7/14/2012 5:31,7/14/2012,5:31,27.27,0.848,2.62,7.56
G379,7/14/2012 5:46,7/14/2012,5:46,27.19,0.848,2.29,7.55
G379,7/14/2012 6:01,7/14/2012,6:01,27.14,0.849,1.75,7.54
G379,7/14/2012 6:16,7/14/2012,6:16,27.08,0.85,1.4,7.54
G379,7/14/2012 6:31,7/14/2012,6:31,27.06,0.852,1.39,7.54
G379,7/14/2012 6:46,7/14/2012,6:46,26.99,0.854,1.41,7.53
G379,7/14/2012 7:01,7/14/2012,7:01,26.94,0.854,1.3,7.53
G379,7/14/2012 7:16,7/14/2012,7:16,26.9,0.855,1.17,7.54
G379,7/14/2012 7:31,7/14/2012,7:31,26.92,0.855,1.03,7.53
G379,7/14/2012 7:46,7/14/2012,7:46,27,0.855,0.9,7.52
G379,7/14/2012 8:01,7/14/2012,8:01,27.06,0.856,0.96,7.53
G379,7/14/2012 8:16,7/14/2012,8:16,27.23,0.859,1.27,7.56
G379,7/14/2012 8:31,7/14/2012,8:31,27.38,0.863,1.53,7.57
G379,7/14/2012 8:46,7/14/2012,8:46,27.58,0.866,1.98,7.62
G379,7/14/2012 9:01,7/14/2012,9:01,27.69,0.871,2.97,7.68
G379,7/14/2012 9:16,7/14/2012,9:16,27.68,0.874,3.52,7.72
G379,7/14/2012 9:31,7/14/2012,9:31,27.82,0.875,4.01,7.75
G379,7/14/2012 9:46,7/14/2012,9:46,28.09,0.878,4.33,7.78
G379,7/14/2012 10:01,7/14/2012,10:01,28.29,0.879,4.83,7.8
G379,7/14/2012 10:16,7/14/2012,10:16,28.58,0.879,5.1,7.85
G379,7/14/2012 10:31,7/14/2012,10:31,29.01,0.876,6.54,7.94
G379,7/14/2012 10:46,7/14/2012,10:46,29.16,0.877,7.16,7.97
G379,7/14/2012 11:01,7/14/2012,11:01,29.13,0.876,7.44,7.99
G379,7/14/2012 11:16,7/14/2012,11:16,29.33,0.875,7.91,8.02
G379,7/14/2012 11:31,7/14/2012,11:31,29.73,0.875,8.46,8.06
G379,7/14/2012 11:46,7/14/2012,11:46,29.71,0.874,9.04,8.09
G379,7/14/2012 12:01,7/14/2012,12:01,29.61,0.873,9.17,8.11
G379,7/14/2012 12:16,7/14/2012,12:16,29.95,0.874,9.33,8.12
G379,7/14/2012 12:31,7/14/2012,12:31,30.48,0.872,10.04,8.18
G379,7/14/2012 12:46,7/14/2012,12:46,30.8,0.87,10.77,8.21
G379,7/14/2012 13:01,7/14/2012,1:01,31.13,0.869,10.56,8.24
G379,7/14/2012 13:16,7/14/2012,1:16,31.72,0.866,12.09,8.3
G379,7/14/2012 13:31,7/14/2012,1:31,32.05,0.865,12.61,8.33
G379,7/14/2012 13:46,7/14/2012,1:46,32.41,0.864,13,8.36
G379,7/14/2012 14:01,7/14/2012,2:01,32.68,0.861,13.51,8.39
G379,7/14/2012 14:16,7/14/2012,2:16,32.91,0.859,13.89,8.42
G379,7/14/2012 14:31,7/14/2012,2:31,33.02,0.857,14.3,8.45
G379,7/14/2012 14:46,7/14/2012,2:46,33.11,0.855,14.6,8.47
G379,7/14/2012 15:01,7/14/2012,3:01,33.27,0.851,15.2,8.5
G379,7/14/2012 15:16,7/14/2012,3:16,33.27,0.849,15.61,8.53
G379,7/14/2012 15:31,7/14/2012,3:31,33.08,0.847,15.15,8.53
G379,7/14/2012 15:46,7/14/2012,3:46,33.02,0.844,15.12,8.54
G379,7/14/2012 16:01,7/14/2012,4:01,32.99,0.842,14.95,8.55
G379,7/14/2012 16:16,7/14/2012,4:16,33.05,0.84,15.19,8.58
G379,7/14/2012 16:31,7/14/2012,4:31,32.88,0.837,15.05,8.59
G379,7/14/2012 16:46,7/14/2012,4:46,33.02,0.833,15.4,8.62
G379,7/14/2012 17:01,7/14/2012,5:01,33.01,0.83,15.39,8.63
G379,7/14/2012 17:16,7/14/2012,5:16,32.95,0.828,15.06,8.63
G379,7/14/2012 17:31,7/14/2012,5:31,32.93,0.826,14.92,8.62
G379,7/14/2012 17:46,7/14/2012,5:46,32.76,0.825,14.62,8.63
G379,7/14/2012 18:01,7/14/2012,6:01,32.66,0.823,14.53,8.63
G379,7/14/2012 18:16,7/14/2012,6:16,32.48,0.822,14.53,8.63
G379,7/14/2012 18:31,7/14/2012,6:31,32.29,0.821,14.62,8.63
G379,7/14/2012 18:46,7/14/2012,6:46,31.99,0.821,14.22,8.6
G379,7/14/2012 19:01,7/14/2012,7:01,31.78,0.821,13.84,8.58
G379,7/14/2012 19:16,7/14/2012,7:16,31.5,0.823,13.51,8.55
G379,7/14/2012 19:31,7/14/2012,7:31,31.22,0.825,13.3,8.53
G379,7/14/2012 19:46,7/14/2012,7:46,30.99,0.826,13.1,8.51
G379,7/14/2012 20:01,7/14/2012,8:01,30.78,0.828,12.97,8.49
G379,7/14/2012 20:16,7/14/2012,8:16,30.65,0.828,12.82,8.47
G379,7/14/2012 20:31,7/14/2012,8:31,30.45,0.828,12.75,8.46
G379,7/14/2012 20:46,7/14/2012,8:46,30.28,0.828,12.63,8.44
G379,7/14/2012 21:01,7/14/2012,9:01,30.07,0.829,12.6,8.42
G379,7/14/2012 21:16,7/14/2012,9:16,29.98,0.829,12.42,8.4
G379,7/14/2012 21:31,7/14/2012,9:31,29.84,0.828,12.34,8.38
G379,7/14/2012 21:46,7/14/2012,9:46,29.7,0.828,12.13,8.35
G379,7/14/2012 22:01,7/14/2012,10:01,29.59,0.828,11.94,8.33
G379,7/14/2012 22:16,7/14/2012,10:16,29.48,0.829,11.77,8.31
G379,7/14/2012 22:31,7/14/2012,10:31,29.36,0.829,11.69,8.29
G379,7/14/2012 22:46,7/14/2012,10:46,29.29,0.828,11.5,8.26
G379,7/14/2012 23:01,7/14/2012,11:01,29.25,0.828,11.3,8.23
G379,7/14/2012 23:16,7/14/2012,11:16,29.18,0.827,11,8.2
G379,7/14/2012 23:31,7/14/2012,11:31,29.09,0.827,10.73,8.17
G379,7/14/2012 23:46,7/14/2012,11:46,29.02,0.827,10.63,8.14
G379,7/15/2012 0:01,7/15/2012,12:01,28.96,0.828,10.52,8.1
G379,7/15/2012 0:16,7/15/2012,12:16,29.51,0.835,1.77,7.47
G379,7/15/2012 0:31,7/15/2012,12:31,29.23,0.84,0.39,7.46
G379,7/15/2012 0:46,7/15/2012,12:46,29.29,0.841,0.28,7.44
G379,7/15/2012 1:01,7/15/2012,1:01,29.31,0.843,0.25,7.42
G379,7/15/2012 1:16,7/15/2012,1:16,29.25,0.847,0.19,7.45
G379,7/15/2012 1:31,7/15/2012,1:31,29.2,0.851,0.19,7.43
G379,7/15/2012 1:46,7/15/2012,1:46,29.14,0.855,0.18,7.42
G379,7/15/2012 2:01,7/15/2012,2:01,29.07,0.859,0.21,7.41
G379,7/15/2012 2:16,7/15/2012,2:16,28.99,0.862,0.32,7.41
G379,7/15/2012 2:31,7/15/2012,2:31,28.91,0.864,0.44,7.4
G379,7/15/2012 2:46,7/15/2012,2:46,28.84,0.865,0.55,7.39
G379,7/15/2012 3:01,7/15/2012,3:01,28.78,0.865,0.58,7.39
G379,7/15/2012 3:16,7/15/2012,3:16,28.72,0.866,0.65,7.38
G379,7/15/2012 3:31,7/15/2012,3:31,28.65,0.867,0.5,7.37
G379,7/15/2012 3:46,7/15/2012,3:46,28.58,0.866,0.51,7.37
G379,7/15/2012 4:01,7/15/2012,4:01,28.5,0.867,0.47,7.37
G379,7/15/2012 4:16,7/15/2012,4:16,28.42,0.868,0.46,7.37
G379,7/15/2012 4:31,7/15/2012,4:31,28.33,0.868,0.47,7.37
G379,7/15/2012 4:46,7/15/2012,4:46,28.27,0.868,0.44,7.37
G379,7/15/2012 5:01,7/15/2012,5:01,28.22,0.868,0.42,7.37
G379,7/15/2012 5:16,7/15/2012,5:16,28.16,0.868,0.4,7.37
